x1,x2,y
1.220168887,1.677961716,10.979588
1.344203342,1.482189723,4.537391796
1.866138452,2.464270238,9.257477505
1.403905867,2.333113975,9.869878994
1.072730456,1.962594099,6.06445694
1.631112138,2.186078909,12.83726466
2.927818763,3.151025729,11.87449264
2.724384324,3.618078267,10.77244579
2.956963373,3.516979005,11.84520243
3.332503477,3.345413645,5.258172159
2.131955559,2.88170635,12.63794679
3.781388772,4.194087738,11.83934587
3.091831194,3.806749508,5.350766034
4.07748536,4.605418206,6.424807196
4.79953512,5.727538854,9.128697918
5.127902107,5.866597253,13.84265008
2.087808245,2.794955163,7.35398492
6.758535271,7.52150764,14.60284791
6.421401944,6.744855443,8.002505704
6.415563307,7.038178267,16.45429888
7.228676134,7.771389938,14.80456311
8.284516965,9.02489601,10.82309427
7.718019314,8.683871693,15.47610926
7.75926663,8.693877298,16.40258656
8.606830239,9.060240953,16.16647872
8.89945672,9.39346862,17.85458403
13.81721429,14.01411157,15.68587466
9.532654305,9.933534066,19.78038213
8.043561338,8.044985923,13.5955515
9.973391106,10.36285219,20.44722598
9.932883457,10.87439808,21.29167444
9.417774152,9.882921942,18.19925747
12.24246115,13.14240835,22.29540867
